City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,hami,42.8,93.45,22.09,27,0,5.92,CN,1715196037
320,kidal,18.4411,1.4078,37.55,8,6,3.46,ML,1715196037
321,broome,42.2506,-75.833,27.32,42,75,7.72,US,1715196037
322,port alfred,-33.5906,26.891,18.43,93,100,2.18,ZA,1715196037
323,palikir - national government center,6.9248,158.1611,26.41,94,100,3.09,FM,1715196038
324,nikolayevsk-on-amure,53.1406,140.73,1.79,72,100,1.79,RU,1715196038
325,balqash,46.8481,74.995,18.69,44,95,7.12,KZ,1715196038
326,chulakkurgan,43.765,69.1814,24.56,40,100,3.31,KZ,1715196025
327,vila velha,-20.3297,-40.2925,27.97,84,20,5.66,BR,1715196005
328,shigony,53.3875,48.6777,4.51,66,8,5.16,RU,1715196038
329,gua musang,4.8823,101.9644,24.88,91,100,0.2,MY,1715196038
330,laguna,38.421,-121.4238,24.5,25,0,11.83,US,1715196038
331,sola,-13.8833,167.55,26.7,69,100,8.5,VU,1715196038
332,bubaque,11.2833,-15.8333,26.82,71,3,5.78,GW,1715195899
333,port lincoln,-34.7333,135.8667,15.21,81,87,5.2,AU,1715196038
334,ribeira brava,32.65,-17.0667,22.62,84,100,0.81,PT,1715196038
335,el nido,11.1858,119.3956,28.88,72,63,2.98,PH,1715196039
336,pontal do parana,-25.6533,-48.5128,32.1,52,4,1.13,BR,1715196039
337,xilin hot,43.9667,116.0333,10.78,19,100,2.99,CN,1715196039
338,oak hill,37.9723,-81.1487,23.17,39,100,5.02,US,1715196039
339,aktobe,50.2797,57.2072,14.05,82,75,7.0,KZ,1715195876
340,badger,64.8,-147.5333,11.11,63,75,0.89,US,1715196039
341,hailar,49.2,119.7,7.37,27,2,2.99,CN,1715196039
342,darnah,32.767,22.6367,19.74,66,62,4.92,LY,1715196039
343,kotido,2.9806,34.1331,22.9,69,10,4.84,UG,1715196039
344,lata,40.1629,-8.3327,20.16,55,28,0.77,PT,1715196039
345,selkirk,50.1436,-96.8845,22.31,43,10,4.02,CA,1715195965
346,kairouan,35.6781,10.0963,18.01,52,40,3.09,TN,1715196039
347,tynda,55.1667,124.7167,0.45,73,9,5.92,RU,1715196040
348,jincheng,35.5022,112.8328,18.03,45,100,1.04,CN,1715196040
349,tambacounda,13.7539,-13.7586,41.03,27,0,1.03,SN,1715196040
350,wamba,8.9333,8.6,29.97,57,27,0.57,NG,1715196040
351,yuzhno-kurilsk,44.0306,145.8556,2.99,95,69,5.23,RU,1715196040
352,sungai raya,0.7,108.9,25.71,93,100,3.04,ID,1715196040
353,tucuma,-0.1833,-50.05,28.54,82,70,2.98,BR,1715196040
354,lerwick,60.1545,-1.1494,9.0,98,100,6.57,GB,1715196040
355,luganville,-15.5333,167.1667,23.79,81,100,4.13,VU,1715196040
356,broken hill,-31.95,141.4333,13.14,74,12,4.39,AU,1715195961
357,revda,56.801,59.9303,9.57,95,100,2.27,RU,1715195764
358,mejit,10.2753,170.8646,27.44,80,100,9.36,MH,1715196041
359,vieste,41.8825,16.175,17.21,88,98,4.76,IT,1715196041
360,ak-suu,42.4995,78.527,13.59,35,14,2.34,KG,1715196023
361,labrador city,52.9463,-66.9114,6.77,39,20,7.15,CA,1715196041
